"State","County","Collection Date","Date Detected","HPAI Strain","Bird Species","WOAH Classification","Sampling Method","Submitting Agency"
"California","Mariposa","03/11/2024","04/09/2024","EA H5N1","Common raven","Wild bird","Morbidity/Mortality","NPS"
"Virginia","Virginia Beach","03/13/2024","04/09/2024","EA H5N1","Sanderling","Wild bird","Morbidity/Mortality","SCWDS"
"Virginia","Norfolk","03/10/2024","04/09/2024","EA H5N1","Sanderling","Wild bird","Morbidity/Mortality","SCWDS"
"Virginia","Norfolk","03/10/2024","04/09/2024","EA H5N1","Sanderling","Wild bird","Morbidity/Mortality","SCWDS"
"Virginia","Virginia Beach","03/13/2024","04/09/2024","EA H5N1","American crow","Wild bird","Morbidity/Mortality","SCWDS"
"Virginia","Norfolk","03/09/2024","04/09/2024","EA H5N1","Ruddy turnstone","Wild bird","Morbidity/Mortality","SCWDS"
"Virginia","Norfolk","03/14/2024","04/09/2024","EA H5N1","American crow","Wild bird","Morbidity/Mortality","SCWDS"
"Illinois","Effingham","12/20/2023","03/28/2024","EA/AM H5N1","Snow goose","Wild bird","Morbidity/Mortality","IL DNR "
"New York","Rensselaer","03/11/2024","03/27/2024","EA H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","NY DEC"
"Indiana","Wabash","03/12/2024","03/27/2024","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","IN DNR"
"North Carolina","Mecklenburg","03/10/2024","03/27/2024","EA H5N1","Black vulture","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Ohio","Ottawa","02/22/2024","03/25/2024","EA H5N1","American black duck","Wild bird","Live bird","NWDP"
"Ohio","Ottawa","02/22/2024","03/25/2024","EA H5N1","American black duck","Wild bird","Live bird","NWDP"
"Ohio","Ottawa","02/27/2024","03/25/2024","EA H5N1","American black duck","Wild bird","Live bird","NWDP"
"Ohio","Ottawa","03/06/2024","03/25/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"Texas","Hartley","03/16/2024","03/25/2024","EA/AM H5N1","Blackbird (unidentified)","Wild bird","Morbidity/Mortality","Private (non-government) submission"
"Texas","Hale","03/18/2024","03/25/2024","EA/AM H5N1","Grackle (unidentified)","Wild bird","Morbidity/Mortality","Private (non-government) submission"
"Texas","Hale","03/18/2024","03/25/2024","EA/AM H5N1","Grackle (unidentified)","Wild bird","Morbidity/Mortality","Private (non-government) submission"
"Texas","Hartley","03/16/2024","03/25/2024","EA/AM H5N1","Blackbird (unidentified)","Wild bird","Morbidity/Mortality","Private (non-government) submission"
"Texas","Hale","03/20/2024","03/25/2024","EA/AM H5N1","Pigeon (unidentified)","Wild bird","Morbidity/Mortality","Private (non-government) submission"
"Texas","Waller","03/20/2024","03/25/2024","EA/AM H5N1","Common grackle","Wild bird","Morbidity/Mortality","Private (non-government) submission"
"Ohio","Ottawa","10/16/2023","03/25/2024","EA H5N1","Northern pintail","Wild bird","Morbidity/Mortality","OH DNR"
"Ohio","Ottawa","10/16/2023","03/25/2024","EA H5N1","Northern pintail","Wild bird","Morbidity/Mortality","OH DNR"
"Ohio","Ottawa","10/16/2023","03/25/2024","EA H5N1","Green-winged teal","Wild bird","Morbidity/Mortality","OH DNR"
"Ohio","Ottawa","10/16/2023","03/25/2024","EA H5N1","Green-winged teal","Wild bird","Morbidity/Mortality","OH DNR"
"Ohio","Ottawa","10/16/2023","03/25/2024","EA H5N1","Green-winged teal","Wild bird","Morbidity/Mortality","OH DNR"
"Ohio","Ottawa","10/16/2023","03/25/2024","EA H5N1","Green-winged teal","Wild bird","Morbidity/Mortality","OH DNR"
"Ohio","Sandusky","10/23/2023","03/25/2024","EA H5N1","Green-winged teal","Wild bird","Morbidity/Mortality","OH DNR"
"Ohio","Ottawa","10/24/2023","03/25/2024","EA H5N1","Northern pintail","Wild bird","Morbidity/Mortality","OH DNR"
"Ohio","Sandusky","10/27/2023","03/25/2024","EA H5N1","Wood duck","Wild bird","Morbidity/Mortality","OH DNR"
"Ohio","Sandusky","10/27/2023","03/25/2024","EA H5N1","Gadwall","Wild bird","Morbidity/Mortality","OH DNR"
"Ohio","Sandusky","10/29/2023","03/25/2024","EA H5N1","Wood duck","Wild bird","Morbidity/Mortality","OH DNR"
"Ohio","Sandusky","10/29/2023","03/25/2024","EA H5N1","Wood duck","Wild bird","Morbidity/Mortality","OH DNR"
"Ohio","Sandusky","10/29/2023","03/25/2024","EA H5N1","Northern pintail","Wild bird","Morbidity/Mortality","OH DNR"
"Ohio","Sandusky","11/10/2023","03/25/2024","EA H5N1","American wigeon","Wild bird","Morbidity/Mortality","OH DNR"
"Ohio","Sandusky","11/17/2023","03/25/2024","EA H5N1","Green-winged teal","Wild bird","Morbidity/Mortality","OH DNR"
"Ohio","Sandusky","11/17/2023","03/25/2024","EA H5N1","Gadwall","Wild bird","Morbidity/Mortality","OH DNR"
"Ohio","Ottawa","11/25/2023","03/25/2024","EA H5N1","Mallard","Wild bird","Morbidity/Mortality","OH DNR"
"Oregon","Tillamook","03/02/2024","03/25/2024","EA H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","OR DFW"
"Colorado","Prowers","02/27/2024","03/25/2024","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","CO Parks & Wildlife"
"Florida","Brevard","03/13/2024","03/25/2024","EA H5N1","Black vulture","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"New Jersey","Hunterdon","01/30/2024","03/25/2024","EA H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","NJ DFW"
"Oregon","Multnomah","03/14/2024","03/25/2024","EA H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","OR DFW"
"Wisconsin","Oconto","10/28/2023","03/25/2024","EA H5N1","Canvasback","Wild bird","Morbidity/Mortality","WI DNR"
"Michigan","Saginaw","03/14/2024","03/25/2024","EA H5N1","Tundra swan","Wild bird","Morbidity/Mortality","MI DNR"
"Washington","Spokane","03/11/2024","03/20/2024","EA H5N1","Bald eagle","Wild bird","Morbidity/Mortality","WA DFW"
"New York","Suffolk","03/08/2024","03/20/2024","EA H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Suffolk","03/07/2024","03/20/2024","EA H5N1","Great horned owl","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Albany","03/08/2024","03/20/2024","EA H5N1","Bald eagle","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Allegany","03/06/2024","03/20/2024","EA H5N1","Bald eagle","Wild bird","Morbidity/Mortality","NY DEC"
"California","Alameda","02/20/2024","03/19/2024","EA H5N1","Turkey vulture","Wild bird","Morbidity/Mortality","CDFW/CAHFS"
"California","Contra Costa","02/20/2024","03/19/2024","EA H5N1","Common raven","Wild bird","Morbidity/Mortality","CDFW/CAHFS"
"Missouri","St. Charles","02/22/2024","03/19/2024","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","MO Dept of Conservation"
"Missouri","St. Charles","02/22/2024","03/19/2024","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","MO Dept of Conservation"
"Missouri","St. Charles","02/22/2024","03/19/2024","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","MO Dept of Conservation"
"North Carolina","Hyde","01/12/2024","03/19/2024","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","SCWDS"
"North Carolina","Buncombe","01/12/2024","03/19/2024","EA H5N1","Mallard","Wild bird","Morbidity/Mortality","SCWDS"
"North Carolina","Buncombe","01/12/2024","03/19/2024","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","SCWDS"
"North Carolina","Dare","01/18/2024","03/19/2024","EA H5N1","Redhead duck","Wild bird","Morbidity/Mortality","SCWDS"
"North Carolina","Dare","01/23/2024","03/19/2024","EA H5N1","American white pelican","Wild bird","Morbidity/Mortality","SCWDS"
"North Carolina","Buncombe","02/06/2024","03/19/2024","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","SCWDS"
"North Carolina","Buncombe","02/05/2024","03/19/2024","EA H5N1","Mallard","Wild bird","Morbidity/Mortality","SCWDS"
"Vermont","Addison","02/27/2024","03/18/2024","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","NWDP"
"New York","Jefferson","02/27/2024","03/18/2024","EA H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Monroe","02/28/2024","03/18/2024","EA H5N1","Bald eagle","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Albany","02/29/2024","03/18/2024","EA H5N1","American crow","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Albany","02/29/2024","03/18/2024","EA H5N1","American crow","Wild bird","Morbidity/Mortality","NY DEC"
"Massachusetts","Plymouth","02/08/2024","03/18/2024","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Grenada","02/05/2024","03/15/2024","EA H5N1","Wood duck","Wild bird","Morbidity/Mortality","USGS"
"Alaska","Sitka","02/22/2024","03/15/2024","EA H5N1","American crow","Wild bird","Morbidity/Mortality","AK DFG"
"Alaska","Sitka","02/22/2024","03/15/2024","EA H5N1","American crow","Wild bird","Morbidity/Mortality","AK DFG"
"Minnesota","Scott","02/28/2024","03/14/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"New York","Schenectady","02/22/2024","03/14/2024","EA H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Schenectady","02/22/2024","03/14/2024","EA H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Suffolk","02/22/2024","03/14/2024","EA H5N1","Herring gull","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Suffolk","02/16/2024","03/14/2024","EA H5N1","Herring gull","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Erie","02/23/2024","03/14/2024","EA H5N1","Bald eagle","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Erie","02/23/2024","03/14/2024","EA H5N1","Herring gull","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Suffolk","02/23/2024","03/14/2024","EA H5N1","Herring gull","Wild bird","Morbidity/Mortality","NY DEC"
"Iowa","Allamakee","03/01/2024","03/14/2024","EA H5N1","American crow","Wild bird","Morbidity/Mortality","IA DNR"
"Maine","Cumberland","02/26/2024","03/14/2024","EA H5N1","Crow (unidentified)","Wild bird","Morbidity/Mortality","ME DIFW"
"Maine","Cumberland","02/26/2024","03/14/2024","EA H5N1","Crow (unidentified)","Wild bird","Morbidity/Mortality","ME DIFW"
"New Hampshire","Grafton","02/09/2024","03/04/2024","EA H5N1","Mallard/Black duck hybrid","Wild bird","Live bird","NWDP"
"Oregon","Clatsop","01/28/2024","03/04/2024","EA H5N1","Hooded merganser","Wild bird","Morbidity/Mortality","OR DFW"
"New York","Erie","02/09/2024","03/04/2024","EA H5N1","Bald eagle","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Orange","02/07/2024","03/04/2024","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","NY DEC"
"Maine","Androscoggin","02/06/2024","03/04/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"Maine","Androscoggin","02/06/2024","03/04/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"Maine","Androscoggin","02/06/2024","03/04/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"Maine","Androscoggin","02/06/2024","03/04/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"Maine","Androscoggin","02/06/2024","03/04/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"Maine","Androscoggin","02/06/2024","03/04/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"Maine","Androscoggin","02/06/2024","03/04/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"Maine","Androscoggin","02/06/2024","03/04/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"Maine","Androscoggin","02/06/2024","03/04/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"Maine","Androscoggin","02/06/2024","03/04/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"Maine","Androscoggin","02/06/2024","03/04/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"Maine","Androscoggin","02/06/2024","03/04/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"Maine","Androscoggin","02/06/2024","03/04/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"Delaware","Kent","01/29/2024","03/04/2024","EA H5N1","Northern shoveler","Wild bird","Hunter harvest","NWDP"
"New York","Onondaga","02/16/2024","03/04/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"New York","Jefferson","02/16/2024","03/04/2024","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Rensselaer","02/14/2024","03/04/2024","EA H5N1","Bald eagle","Wild bird","Morbidity/Mortality","NY DEC"
"Idaho","Elmore","12/22/2023","03/04/2024","EA H5N1","Bald eagle","Wild bird","Morbidity/Mortality","USGS/SCWDS/USFWS-National Eagle Repository"
"Oregon","Umatilla","02/21/2024","03/04/2024","EA H5N1","Great horned owl","Wild bird","Morbidity/Mortality","OR DFW"
"California","Alameda","02/14/2024","03/04/2024","EA H5N1","Peregrine falcon","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Siskiyou","02/07/2024","03/04/2024","EA H5N1","Golden eagle","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","El Dorado","02/06/2024","03/04/2024","EA H5N1","Mute swan","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"Indiana","Vanderburgh","02/14/2024","03/04/2024","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","IN DNR"
"New York","Suffolk","02/12/2024","03/04/2024","EA H5N1","Merlin","Wild bird","Morbidity/Mortality","NY DEC"
"New York","Onondaga","02/16/2024","03/04/2024","EA H5N1","American crow","Wild bird","Morbidity/Mortality","NY DEC"
"New Mexico","Chaves","02/15/2024","03/04/2024","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","NM DGF"
"Florida","Seminole","02/20/2024","03/04/2024","EA H5N1","Black vulture","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"New York","Tompkins","02/26/2024","03/04/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Florida","Orange","02/21/2024","03/04/2024","EA H5N1","Mute swan","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Maine","Androscoggin","02/07/2024","03/04/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"Maine","Androscoggin","02/07/2024","03/04/2024","EA H5","Mallard","Wild bird","Live bird","NWDP"
"Maine","Androscoggin","02/07/2024","03/04/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"Rhode Island","Newport","02/18/2024","03/04/2024","EA H5","Mallard","Wild bird","Live bird","NWDP"
"Rhode Island","Newport","02/18/2024","03/04/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"New York","Kings","02/22/2024","03/04/2024","EA H5N1","Mute swan","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Virginia","Spotsylvania","02/05/2023","03/04/2024","EA H5N1","Bald eagle","Wild bird","Morbidity/Mortality","SCWDS/USFWS-National Eagle Repository"
"Ohio","Summit","04/08/2023","03/04/2024","EA H5N1","Bald eagle","Wild bird","Morbidity/Mortality","SCWDS/USFWS-National Eagle Repository"
"Colorado","Adams","Unknown","03/04/2024","EA H5N1","Bald eagle","Wild bird","Morbidity/Mortality","SCWDS/USFWS-National Eagle Repository"
"Washington","Kitsap","12/12/2023","03/01/2024","EA H5N1","Western sandpiper","Wild bird","Morbidity/Mortality","WA DFW"
"New Hampshire","Hillsborough","02/06/2024","03/01/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"Vermont","Grand Isle","02/06/2024","03/01/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"Rhode Island","Kent","02/02/2024","03/01/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"Rhode Island","Kent","02/02/2024","03/01/2024","EA H5N1","American black duck","Wild bird","Live bird","NWDP"
"California","Los Angeles","01/30/2024","03/01/2024","EA H5N1","Western gull","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Vermont","Addison","01/31/2024","03/01/2024","EA/AM H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","USGS"
"Vermont","Addison","01/31/2024","03/01/2024","EA/AM H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","USGS"
"Massachusetts","Suffolk","01/31/2024","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Suffolk","02/03/2024","03/01/2024","EA H5N1","Lesser scaup","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Barnstable","01/16/2024","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Norfolk","12/21/2023","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Essex","02/05/2024","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Essex","02/05/2024","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Essex","02/06/2024","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Essex","02/05/2024","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Essex","02/05/2024","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Essex","02/05/2024","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Essex","02/06/2024","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Essex","02/05/2024","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Essex","02/05/2024","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Essex","02/06/2024","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Essex","02/05/2024","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Barnstable","01/08/2024","03/01/2024","EA H5N1","Great black-backed gull","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Barnstable","01/13/2024","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Barnstable","01/13/2024","03/01/2024","EA H5N1","Red-tailed hawk","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Barnstable","01/18/2024","03/01/2024","EA H5","Great black-backed gull","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Barnstable","01/23/2024","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Essex","02/05/2024","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Essex","02/05/2024","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Essex","02/05/2024","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Essex","02/08/2024","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Massachusetts","Essex","02/08/2024","03/01/2024","EA H5N1","Canada goose","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"California","Contra Costa","01/18/2024","03/01/2024","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Solano","11/16/2022","03/01/2024","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Solano","11/20/2022","03/01/2024","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Alameda","11/21/2022","03/01/2024","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Solano","11/27/2022","03/01/2024","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Solano","11/30/2022","03/01/2024","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Solano","12/09/2022","03/01/2024","EA H5N1","Greater white-fronted goose","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Solano","12/19/2022","03/01/2024","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Solano","12/10/2022","03/01/2024","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Contra Costa","01/02/2023","03/01/2024","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Sonoma","01/27/2023","03/01/2024","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"California","Contra Costa","12/29/2022","03/01/2024","EA H5N1","Western gull","Wild bird","Morbidity/Mortality","CA DFW/CAHFS"
"Rhode Island","Washington","01/30/2024","03/01/2024","EA H5N1","Mallard","Wild bird","Live bird","NWDP"
"California","Solano","01/18/2024","03/01/2024","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","Private (non-government) submission"
"California","Solano","01/18/2024","03/01/2024","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","Private (non-government) submission"
"California","Solano","01/18/2024","03/01/2024","EA H5N1","Snow goose","Wild bird","Morbidity/Mortality","Private (non-government) submission"
"Mississippi","Leflore","01/29/2024","02/29/2024","EA H5N1","Wood duck","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Leflore","01/29/2024","02/29/2024","EA H5N1","Wood duck","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Leflore","01/29/2024","02/29/2024","EA H5N1","Wood duck","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Leflore","01/29/2024","02/29/2024","EA H5N1","Wood duck","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Leflore","01/29/2024","02/29/2024","EA H5N1","Wood duck","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Leflore","01/29/2024","02/29/2024","EA H5N1","Wood duck","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Leflore","01/29/2024","02/29/2024","EA H5N1","Wood duck","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Leflore","01/29/2024","02/29/2024","EA H5N1","Wood duck","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Leflore","01/29/2024","02/29/2024","EA H5N1","Wood duck","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Leflore","01/29/2024","02/29/2024","EA H5N1","Wood duck","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Leflore","01/29/2024","02/29/2024","EA H5N1","Wood duck","Wild bird","Morbidity/Mortality","NWDP"
"Mississippi","Leflore","01/29/2024","02/29/2024","EA H5N1","Wood duck","Wild bird","Morbidity/Mortality","NWDP"
"Illinois","Champaign","02/08/2024","02/29/2024","EA H5N1","Crow (unidentified)","Wild bird","Morbidity/Mortality","IL DNR"
"Pennsylvania","Erie","02/14/2024","02/29/2024","EA H5N1","Barred owl","Wild bird","Morbidity/Mortality","PA Game Commission"
"Ohio","Wood","10/02/2022","02/29/2024","EA H5N1","Bald eagle","Wild bird","Morbidity/Mortality","SCWDS/USFWS-National Eagle Repository"
"Pennsylvania","Erie","02/14/2024","02/29/2024","EA H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","PA Game Commission"
"Pennsylvania","Union","02/14/2024","02/29/2024","EA H5N1","Red-tailed hawk","Wild bird","Morbidity/Mortality","PA Game Commission"
"Florida","Orange","02/26/2024","02/29/2024","EA H5N1","Black-neck swan","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"Florida","Orange","02/26/2024","02/29/2024","EA H5N1","Black-neck swan","Captive wild bird","Morbidity/Mortality","Private (non-government) submission"
"South Carolina","Horry","02/06/2024","02/29/2024","EA H5N1","Canada goose","Wild bird","Morbidity/Mortality","NWDP"
